File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\MagnumPrefab.cpp,145,107,51,12,27,0,11,31,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\MagnumScene.cpp,145,107,51,12,27,0,11,31,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Matrix2.cpp,18,9,3,0,1,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Matrix3.cpp,20,11,3,0,1,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Matrix4.cpp,23,13,5,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\MultipleCurve2.cpp,268,201,119,33,35,0,32,107,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\MultipleCurve3.cpp,267,201,119,33,34,0,32,107,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\OrthographicCameraComponent.cpp,54,35,19,0,10,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\OutputStream.cpp,387,307,161,31,61,0,19,47,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ParticleEmitter.cpp,287,217,134,23,53,0,17,51,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ParticleEmitterRenderer.cpp,110,82,39,6,18,0,10,32,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\PerspectiveCameraComponent.cpp,70,46,26,0,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Physics3.cpp,1442,1031,663,92,299,0,112,777,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Plane3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Platform.cpp,31,19,12,1,4,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Polyhedron3.cpp,12,2,1,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Polynomial1.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ProjectModelViewBase.cpp,99,79,36,8,19,1,1,2,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\PVRTexConvert.cpp,327,262,147,41,42,26,23,86,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\PVRTexLoad.cpp,1332,925,556,124,211,59,196,1195,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Quadratic2.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Quadratic3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Quaternion.cpp,15,5,5,0,2,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Ray2.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Ray3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\RaySphereCast.cpp,1,1,0,0,0,0,0,0,0,0
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Rectangle2.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Rectangle3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ReflectedClassFieldReader.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ReflectedClassFieldWriter.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ReflectedClassPropertyReader.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ReflectedClassPropertyWriter.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\RendererBase.cpp,30,19,8,2,3,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\RenderStatesBlock.cpp,379,339,198,51,32,87,8,549,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ResourceAccess.cpp,628,509,265,86,101,0,18,57,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ResourceImport.cpp,553,437,242,65,91,6,25,87,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ResourcePath.cpp,85,63,30,8,14,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Scene.cpp,361,279,147,39,70,0,12,31,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SceneCollision.cpp,985,758,406,136,172,4,55,215,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Segment2.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Segment3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Selection3.cpp,155,115,55,8,30,0,10,29,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Service.cpp,124,92,46,15,22,0,10,31,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\ShaderProgramBlock.cpp,41,26,14,1,7,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Shape3.cpp,57,40,17,7,9,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SingleCurve2.cpp,78,46,24,10,14,0,18,55,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SingleCurve3.cpp,78,46,24,10,14,0,18,55,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkeletalAnimation.cpp,295,233,132,34,45,0,17,49,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkeletalAnimBase.cpp,43,30,16,1,5,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkeletalAnimBlender.cpp,402,301,155,64,69,1,32,68,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkeletalAnimModel.cpp,1232,955,519,147,219,0,58,124,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkeletalAnimModelComponent.cpp,186,142,73,25,35,0,9,35,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkeletalAnimModelRenderer.cpp,394,284,154,48,47,1,63,126,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkySphere.cpp,613,585,243,7,20,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\SkySphereRenderer.cpp,85,61,40,4,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Sphere3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Sphere3Collider.cpp,81,57,24,6,16,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Sphere3Collision.cpp,171,72,45,9,17,0,82,519,8,27
